 ,Area,Mean,Min,Max,Angle,Length
1,5.254,81.297,27,182,-26.342,40.083
2,2.978,40.611,27,123,-24.007,22.715
3,4.612,75.974,26,158,15.555,35.114
4,2.849,47.210,27,123,15.819,21.748
5,4.795,69.904,23,167,30.217,36.726
6,3.088,38.189,20,140,29.798,23.510
7,4.931,83.153,25,166,8.427,38.075
8,2.902,44.430,25,127,17.865,22.168
9,5.106,66.728,18,149,19.568,39.048
10,2.788,31.157,18,82,21.105,21.308
11,5.030,68.187,17,156,8.608,38.446
12,2.750,33.682,21,83,17.382,21.012
13,4.487,65.813,19,162,26.304,34.234
14,2.731,40.127,21,65,24.842,20.752
15,4.475,64.261,20,178,-93.504,34.241
16,2.537,30.136,17,57,-85.365,19.419
17,3.472,58.515,25,141,9.462,25.456
18,2.263,39.252,26,72,15.866,17.221
19,4.909,69.990,20,174,19.277,37.500
20,2.526,34.333,20,73,28.195,19.191
21,2.856,68.444,35,137,6.843,21.953
22,1.853,58.508,40,112,12.836,14.128
23,4.012,71.213,30,177,3.597,30.575
24,2.750,45.224,29,118,9.071,21.013
25,5.045,77.692,24,174,7.286,38.498
26,3.175,42.186,19,138,8.653,24.340
27,3.419,62.514,26,176,15.893,26.107
28,2.339,37.700,25,90,16.484,17.821
29,4.430,64.114,20,161,13.749,33.749
30,2.993,37.208,21,103,12.766,22.885
31,4.757,80.789,22,170,1.377,36.280
32,2.856,45.416,25,107,3.662,21.841
33,2.940,48.959,19,120,-2.684,22.344
34,2.309,38.897,19,74,-3.400,17.643
35,3.981,81.221,28,178,11.567,30.436
36,2.400,48.144,30,104,12.057,18.365
37,5.045,83.161,21,162,-2.591,38.576
38,2.902,42.709,31,135,55.934,22.102
39,5.061,87.526,37,187,-9.080,38.672
40,2.674,45.729,27,85,68.471,20.432
41,4.605,78.662,28,169,-3.180,34.579
42,2.780,42.669,29,111,-6.132,21.220
43,3.951,72.558,27,181,-19.587,30.168
44,2.586,41.240,24,98,-26.338,19.651
45,5.061,78.666,26,156,19.253,38.603
46,2.970,38.182,23,95,-90.881,22.671
47,3.480,66.801,31,174,-1.131,26.510
48,2.659,51.956,28,106,-3.453,20.264
49,4.437,81.747,30,187,-2.066,33.850
50,2.583,43.266,29,76,-90.507,19.705
51,5.285,87.160,28,185,-26.787,40.239
52,2.788,39.320,26,93,-90.939,21.276
53,4.361,70.010,26,175,-39.920,33.422
54,2.871,42.032,26,94,40.799,21.883
55,4.460,74.816,22,186,-43.340,34.045
56,2.704,35.041,22,107,-48.769,20.636
57,4.338,74.125,25,189,-85.786,33.220
58,2.963,45.180,31,132,40.937,22.621
59,3.730,83.767,31,163,-46.494,28.368
60,2.111,53.122,31,112,-55.109,16.156
61,3.814,84.006,30,180,-45.725,29.224
62,2.309,64.895,45,133,-144.265,17.615
63,4.407,73.933,22,180,-48.145,33.711
64,2.788,40.240,20,72,-87.138,20.951
65,2.932,53.112,28,117,-13.062,22.375
66,2.172,35.237,21,77,-88.794,16.569
67,4.471,75.628,22,174,-61.600,34.095
68,3.115,42.782,23,115,-163.824,23.784
69,4.118,67.882,27,186,-34.394,31.486
70,2.963,41.439,26,135,-164.784,22.588
71,4.376,75.942,25,186,-49.236,33.382
72,2.932,46.330,32,116,-93.180,22.005
73,4.209,78.794,24,195,-2.179,32.108
74,2.879,39.989,22,113,-79.939,21.960
