 ,Area,Mean,Min,Max,Angle,Length
1,2.014,78.628,25.589,169.015,-22.868,43.893
2,1.203,46.087,29.003,79.882,15.009,26.206
3,2.054,82.932,39.542,187.237,-10.389,44.754
4,1.449,47.317,32.367,74.022,42.879,31.538
5,1.745,84.202,36.585,187.000,-2.213,37.996
6,1.056,46.942,36.945,109.000,16.699,22.979
7,1.430,74.634,20.912,175.045,5.744,31.154
8,0.931,37.961,22.489,90.667,27.493,20.263
9,1.804,78.354,29.472,182.583,-6.163,39.295
10,1.127,45.378,35.946,98.000,26.182,24.526
11,1.461,72.461,23.284,187.997,-20.943,31.815
12,0.965,34.906,21.065,91.667,22.080,20.981
13,1.268,76.709,25.240,167.220,-22.649,27.625
14,0.812,44.110,27.558,78.333,27.897,17.640
15,1.583,72.050,23.965,183.300,-49.960,34.498
16,1.127,45.262,31.322,126.667,-160.346,24.540
17,1.592,89.888,38.676,207.333,145.132,34.650
18,1.020,55.705,36.501,121.667,-89.053,22.196
19,1.583,91.429,36.926,194.006,-27.929,34.461
20,0.995,46.601,33.571,60.755,-140.505,21.629
21,1.074,57.828,25.338,158.976,-122.196,23.408
22,0.822,37.524,23.289,122.000,151.858,17.889
23,1.079,64.740,23.811,162.898,135.950,23.478
24,0.856,42.002,29.866,89.323,-140.194,18.623
25,1.751,69.521,28.207,167.780,134.221,38.134
26,1.234,45.010,29.056,94.699,134.170,26.850
27,1.749,77.595,30.296,178.553,-174.756,38.127
28,1.209,47.472,20.305,78.588,121.032,26.328
29,1.514,70.528,28.268,157.865,-170.066,32.959
30,0.942,43.693,28.667,69.989,108.273,20.475
31,1.024,71.564,24.897,189.870,175.276,22.269
32,0.679,50.906,36.765,79.000,104.381,14.769
33,1.434,75.218,30.842,185.333,-176.970,31.225
34,0.948,46.157,21.615,80.925,-84.391,20.642
35,1.081,46.267,23.111,165.000,-82.376,23.502
36,0.860,35.347,26.008,76.667,-81.552,18.728
37,1.430,67.485,29.582,174.236,-171.870,31.127
38,1.056,42.079,25.764,108.333,-79.408,22.951
