 ,Area,Mean,Min,Max,Angle,Length
1,1.625,74.544,22.602,176.302,-46.049,35.413
2,0.946,51.275,27.094,91.246,-57.724,20.609
3,1.354,75.725,36.198,136.900,-164.495,29.503
4,0.793,62.093,34.000,113.000,-90.000,17.241
5,1.339,81.479,36.010,178.442,-145.510,29.152
6,0.803,64.669,33.719,108.644,-64.511,17.475
7,1.314,99.398,37.836,209.487,147.839,28.599
8,0.862,67.025,41.771,100.648,-106.484,18.745
9,1.339,91.269,35.333,178.333,-90.000,29.163
10,0.927,72.092,38.532,133.568,-172.681,20.157
11,1.503,99.552,43.353,192.046,-62.286,32.735
12,0.906,63.807,38.946,119.667,-159.880,19.729
13,1.514,104.010,44.383,188.947,159.146,32.974
14,0.833,65.397,45.160,98.251,-76.527,18.106
15,1.760,70.261,27.667,179.697,-91.644,38.350
16,1.144,37.568,24.517,97.333,-74.634,24.918
17,1.596,82.346,22.607,196.123,139.497,34.736
18,0.934,38.521,25.872,81.688,-110.072,20.309
19,1.545,81.247,25.392,180.504,142.755,33.639
20,0.944,40.019,27.685,74.667,-88.977,20.546
21,1.466,80.617,27.750,181.512,163.648,31.922
22,0.831,38.180,24.000,108.000,15.306,18.065
23,1.508,70.895,25.792,161.294,-171.643,32.813
24,1.003,44.495,31.384,86.667,109.654,21.813
25,1.339,68.834,21.855,166.667,168.761,29.172
26,0.759,27.478,19.741,73.667,-87.455,16.524
27,1.804,78.728,25.796,166.873,-157.504,39.308
28,1.045,36.317,26.774,98.027,-60.542,22.750
29,1.508,75.191,22.475,180.705,169.695,32.811
30,0.923,35.648,19.667,100.416,-75.710,20.063
31,1.434,74.955,30.280,170.051,164.332,31.241
32,0.889,46.715,31.901,101.333,-77.412,19.357
33,1.512,65.721,29.044,162.837,-111.564,32.936
34,0.995,39.463,29.688,105.000,-82.213,21.659
35,1.331,74.297,30.477,169.484,168.690,28.993
36,0.864,40.048,25.659,115.000,-77.593,18.780
37,1.087,64.128,29.008,172.245,-96.684,23.638
38,0.751,40.465,28.251,113.000,-87.427,16.341
39,1.686,85.129,27.068,179.371,-148.055,36.746
40,1.020,43.256,30.034,71.667,-82.405,22.205
41,1.745,77.482,18.126,180.571,-108.872,37.992
42,1.081,40.087,29.831,120.667,-100.784,23.526
43,1.585,79.253,31.758,168.385,-83.593,34.515
44,0.952,47.608,31.667,79.902,-67.068,20.712
45,1.634,80.651,21.412,178.817,-63.039,35.600
46,0.944,37.012,22.095,92.333,-88.977,20.546
