 ,Area,Mean,Min,Max,Angle,Length
1,0.948,74.512,23.574,173.431,-56.592,20.654
2,0.618,45.779,29.893,94.333,-95.477,13.451
3,1.373,69.041,27.023,164.840,-51.724,29.906
4,0.894,40.294,24.585,136.333,-46.528,19.461
5,0.892,62.391,23.980,185.000,-82.942,19.406
6,0.629,37.304,24.667,54.724,-96.170,13.652
7,0.852,50.373,21.574,166.073,-92.834,18.548
8,0.635,39.102,26.313,121.667,-5.332,13.816
9,0.698,46.610,22.413,132.942,-68.714,15.157
10,0.511,33.403,21.606,62.280,-52.374,11.116
11,1.016,52.611,24.205,135.552,-22.949,22.109
12,0.721,31.421,21.456,67.667,-84.623,15.659
13,1.198,66.230,25.798,167.245,-12.179,26.082
14,0.788,35.519,23.842,106.333,-95.528,17.137
15,0.927,49.277,24.999,181.768,168.996,20.180
16,0.692,32.100,20.103,73.333,-55.923,15.058
17,1.564,80.555,32.013,175.249,-15.607,34.088
18,0.919,46.627,30.636,98.333,-22.094,19.993
19,0.801,57.124,13.178,163.871,-112.249,17.439
20,0.547,35.372,13.333,63.161,-103.392,11.878
21,1.623,62.127,12.333,138.000,-74.667,35.375
22,0.965,26.577,11.898,78.667,27.013,20.999
23,1.341,94.755,49.428,211.875,166.924,29.186
24,0.795,60.647,45.802,112.086,-27.108,17.308
25,1.287,103.524,48.390,183.561,-30.256,28.029
26,0.681,60.094,42.837,93.069,-102.144,14.822
27,0.807,69.403,30.158,176.812,-6.605,17.541
28,0.566,49.469,30.425,67.116,-76.171,12.278
29,0.986,69.123,36.026,176.299,-0.490,21.461
30,0.688,47.023,33.718,94.333,-79.380,14.929
31,1.449,75.194,24.529,158.000,0.333,31.548
32,0.870,38.246,22.657,107.019,-86.112,18.936
33,0.984,63.091,26.626,161.369,-33.826,21.417
34,0.585,40.669,26.813,72.594,-84.207,12.721
35,1.373,65.243,25.168,155.875,-30.181,29.917
36,0.902,37.989,22.530,99.333,-28.482,19.615
37,0.946,57.622,22.697,165.843,-50.782,20.597
38,0.704,40.219,26.995,71.839,-53.267,15.334
39,0.948,68.442,29.666,184.271,-35.952,20.619
40,0.671,44.521,27.887,75.667,-78.408,14.604
41,0.923,60.481,29.614,111.328,-36.451,20.066
42,0.664,50.046,31.114,98.691,-39.341,14.467
43,1.116,63.605,25.827,159.180,-75.124,24.291
44,0.725,39.146,24.101,66.667,-70.301,15.780
