 ,Area,Mean,Min,Max,Angle,Length
1,1.203,68.944,18.163,173.907,-110.086,26.170
2,0.751,33.253,19.333,108.333,-32.619,16.332
3,1.457,59.324,13.836,162.445,-89.007,31.736
4,0.845,29.595,15.333,103.313,-85.996,18.387
5,1.049,73.003,20.493,172.244,-43.698,22.832
6,0.641,31.915,13.105,53.333,-93.013,13.959
7,1.339,69.069,18.273,177.333,-179.279,29.166
8,0.807,33.234,15.291,113.746,-76.109,17.572
9,1.423,68.066,24.817,150.920,-81.151,31.000
10,0.910,36.216,23.343,137.333,-82.546,19.793
11,1.407,86.753,33.904,163.569,-173.811,30.626
12,0.801,62.854,38.246,114.472,-81.529,17.431
13,1.302,41.895,15.407,152.788,-97.815,28.326
14,0.978,27.271,18.696,48.333,-79.077,21.295
15,1.333,102.540,41.300,189.280,-73.856,29.024
16,0.757,66.675,46.030,119.000,-73.179,16.479
17,1.562,101.136,36.000,206.210,-94.635,34.043
18,0.854,55.027,36.663,107.333,-60.396,18.564
19,1.390,84.047,32.054,178.819,-32.631,30.273
20,0.875,45.622,29.472,105.667,-103.367,19.041
21,1.203,93.411,32.900,184.387,-28.899,26.188
22,0.728,54.900,33.554,103.336,10.008,15.831
23,1.356,68.903,24.642,172.198,-78.899,29.532
24,0.948,38.709,26.553,74.333,9.211,20.625
25,1.388,90.087,36.881,178.956,164.867,30.211
26,0.713,62.286,32.915,106.805,-84.560,15.477
27,1.630,107.484,39.566,186.507,-131.019,35.492
28,0.776,65.538,41.667,101.000,-91.868,16.883
29,1.604,95.147,37.333,185.166,-48.616,34.958
30,0.942,47.320,37.768,116.000,-45.725,20.493
31,1.310,99.088,32.893,193.324,-74.713,28.522
32,0.719,51.038,31.754,107.000,22.051,15.634
33,1.024,62.300,25.307,156.616,-95.664,22.302
34,0.702,44.205,25.814,76.405,-99.689,15.258
35,1.169,72.794,19.309,167.214,-101.634,25.468
36,0.770,48.071,23.649,73.651,-52.125,16.730
37,1.362,88.008,37.230,198.959,-81.469,29.675
38,0.847,42.739,23.012,93.667,-5.143,18.416
39,1.367,94.382,31.496,178.056,-25.934,29.777
40,0.696,42.546,33.026,72.667,-112.834,15.125
41,1.066,62.468,22.879,174.786,162.997,23.208
42,0.744,36.302,22.347,70.000,-119.181,16.176
43,1.304,79.836,32.614,193.158,-54.462,28.401
44,0.852,54.374,29.050,124.000,-7.970,18.521
45,1.320,80.924,22.115,174.511,-55.397,28.746
46,0.791,48.377,29.329,185.667,19.983,17.175
47,1.457,76.246,24.488,184.844,-81.027,31.753
48,0.961,45.831,23.860,138.833,-68.385,20.913
49,1.331,86.551,27.698,189.502,-53.493,28.980
50,0.795,44.971,28.880,151.667,-64.250,17.309
51,1.615,90.379,34.614,181.278,-165.819,35.188
52,0.881,45.592,30.057,70.000,16.699,19.149
53,1.508,85.955,26.599,182.009,-65.583,32.834
54,0.908,45.271,26.796,109.667,-61.771,19.777
55,1.266,72.398,23.015,186.763,-67.703,27.555
56,0.936,52.412,26.020,164.540,-161.075,20.359
57,1.116,60.537,20.370,179.998,-29.852,24.320
58,0.828,38.947,20.034,159.000,-35.470,18.017
59,1.615,79.942,25.674,179.656,-4.788,35.155
60,0.971,39.672,24.318,122.955,-47.459,21.160
61,1.508,77.231,22.737,186.969,14.890,32.834
62,0.961,44.845,26.001,84.333,-73.156,20.889
63,1.398,79.011,22.988,179.719,-179.655,30.448
64,0.856,39.394,22.243,146.311,-75.141,18.597
65,1.423,74.698,26.332,181.970,-127.548,31.000
66,0.898,42.823,20.693,108.333,161.395,19.547
67,1.707,76.790,24.235,166.392,-29.219,37.198
68,1.034,40.328,23.011,79.667,-173.454,22.524
69,1.552,97.121,24.340,193.810,-171.254,33.775
70,0.761,51.443,30.867,88.642,-164.578,16.553
