 ,Area,Mean,Min,Max,Angle,Length
1,1.299,160.921,107.919,247.072,93.240,28.739
2,0.906,136.507,108.369,206.667,90.774,20.033
3,1.176,66.835,32.213,196.732,-106.928,26.031
4,0.898,49.645,34.215,136.333,-114.121,19.871
5,1.309,68.119,34.333,184.673,155.113,28.945
6,0.926,48.368,32.755,119.000,-134.465,20.481
7,1.317,59.683,28.121,164.282,-74.932,29.154
8,0.920,42.110,28.256,84.613,-66.501,20.366
9,1.358,58.653,27.732,183.008,-79.095,30.047
10,0.975,38.165,28.152,120.695,-78.408,21.553
11,1.282,71.887,30.621,181.526,-57.068,28.381
12,0.889,43.980,29.263,101.087,-55.654,19.671
13,1.435,67.197,31.160,184.624,-66.930,31.775
14,1.020,42.683,31.188,98.333,-65.898,22.537
15,1.333,62.743,27.757,177.233,-58.496,29.526
16,1.005,40.713,26.254,67.667,-55.923,22.223
17,1.252,56.583,30.082,167.164,-63.935,27.723
18,1.014,43.862,29.335,142.333,-60.341,22.428
19,1.219,60.160,29.418,168.848,-58.543,26.972
20,0.942,42.117,28.335,147.667,-150.440,20.850
21,1.237,64.905,28.488,184.488,-69.775,27.405
22,0.944,46.713,28.017,122.616,-71.095,20.887
23,1.347,112.076,54.569,202.557,129.472,29.806
24,0.942,84.775,60.796,160.333,-67.094,20.864
25,1.290,101.381,50.567,182.143,148.570,28.551
26,0.841,72.132,48.608,133.000,-59.323,18.569
27,1.337,90.450,54.208,193.423,-71.896,29.618
28,0.995,70.463,50.278,164.333,-84.359,22.032
29,1.423,83.724,46.935,164.657,-78.593,31.480
30,1.032,65.226,49.510,108.570,-76.293,22.847
31,1.272,73.978,44.000,175.208,-72.087,28.163
32,0.983,58.830,42.647,140.937,-71.114,21.743
33,1.282,72.091,43.234,176.621,-76.759,28.364
34,1.026,57.546,43.798,117.333,-70.484,22.688
35,1.248,159.521,104.333,247.000,-90.000,27.610
36,0.894,135.914,109.374,201.420,-89.215,19.762
