 ,Area,Mean,Min,Max,Angle,Length
1,1.854,106.155,32.124,200.376,143.584,41.037
2,0.953,48.772,30.775,106.000,136.042,21.058
3,1.732,98.180,37.332,181.903,-79.007,38.329
4,0.922,51.839,37.310,111.000,-109.398,20.375
5,1.602,88.261,37.840,175.660,-74.055,35.471
6,0.873,54.048,35.336,101.667,-148.761,19.312
7,1.883,112.697,41.030,179.329,-54.246,41.694
8,0.918,55.713,35.480,124.333,-148.643,20.287
9,1.588,101.444,40.994,188.277,-77.998,35.146
10,0.922,64.359,36.014,163.000,-149.689,20.381
11,1.647,91.643,40.091,174.227,-101.560,36.470
12,0.983,57.761,41.789,119.928,-95.711,21.763
13,1.579,87.869,37.460,172.012,-69.600,34.945
14,1.005,53.621,38.169,95.667,-93.489,22.238
15,1.549,99.368,38.219,179.748,-78.158,34.295
16,0.904,58.665,37.103,117.000,-54.372,19.981
17,1.746,116.726,67.693,181.608,-134.433,38.666
18,0.950,64.595,41.214,110.615,-101.889,21.023
19,1.783,110.633,43.027,179.784,-61.327,39.491
20,0.934,60.218,42.918,88.667,-174.738,20.659
21,1.726,84.766,38.083,156.635,-76.062,38.209
22,0.985,52.958,35.565,125.248,-118.156,21.798
23,1.976,84.855,42.773,170.541,40.986,43.748
24,1.048,61.253,42.033,99.408,-131.689,23.199
25,2.296,106.841,39.921,192.417,-62.753,50.847
26,1.040,56.674,34.259,145.333,-178.652,23.015
27,2.074,90.801,38.551,158.458,-100.184,45.928
28,0.889,56.953,37.486,115.667,-124.346,19.671
29,1.832,81.721,39.700,141.250,-61.725,40.571
30,1.056,56.323,39.971,85.214,-55.389,23.351
31,1.624,116.649,49.118,199.410,-72.929,35.962
32,0.906,63.634,43.351,143.829,-178.452,20.038
33,1.899,126.341,47.737,190.937,123.179,42.044
34,0.975,68.548,48.271,117.333,-151.504,21.560
35,1.864,87.394,35.923,172.828,-97.918,41.267
36,0.942,49.385,36.730,94.474,-152.103,20.827
37,1.632,90.462,31.287,174.558,-78.774,36.152
38,0.969,49.462,34.583,109.393,20.726,21.417
39,1.775,98.667,46.331,207.502,-106.813,39.306
40,1.067,65.923,42.219,153.333,-138.257,23.581
41,1.842,100.384,44.052,187.215,-134.193,40.773
42,0.981,60.471,39.785,143.000,-35.870,21.712
43,1.695,128.107,43.101,197.869,171.285,37.517
44,0.784,71.688,41.679,170.333,-170.096,17.311
45,1.832,110.866,73.230,162.376,-62.580,40.558
46,1.117,53.302,38.304,117.000,-175.601,24.705
47,1.671,98.047,35.742,200.301,-84.123,37.008
48,0.948,60.760,38.300,158.333,-168.835,20.969
49,1.948,116.175,36.679,177.611,-17.526,43.147
50,0.861,59.944,29.835,151.333,-150.154,19.037
51,1.763,93.543,38.167,193.179,-114.609,39.002
52,1.010,59.097,37.433,144.000,-11.174,22.349
53,2.080,101.030,37.146,177.691,156.448,46.064
54,0.957,46.406,34.447,78.095,-103.325,21.141
55,1.915,89.333,34.096,177.272,-105.544,42.425
56,1.024,56.286,39.636,141.422,-150.680,22.663
57,1.870,104.222,43.896,171.477,-26.398,41.401
58,0.987,62.451,41.825,150.197,-135.000,21.820
59,1.606,115.387,48.908,200.478,140.250,35.559
60,0.896,63.144,39.295,123.667,-111.656,19.805
61,1.838,130.697,56.318,205.212,-31.682,40.716
62,0.961,72.784,51.258,116.667,-148.536,21.262
63,1.799,123.886,60.476,183.946,-92.726,39.836
64,0.965,67.342,48.828,107.712,-105.446,21.343
65,1.779,138.199,86.894,186.366,-72.810,39.385
66,0.944,89.888,59.358,178.702,-103.496,20.878
67,1.681,161.556,95.637,198.579,-124.037,37.238
68,0.977,74.267,40.603,145.983,-120.101,21.589
69,1.921,119.971,50.173,176.349,-78.619,42.522
70,0.946,80.076,42.987,176.787,-154.759,20.948
71,1.433,115.674,59.053,183.622,-68.471,31.718
72,0.883,89.219,57.710,178.000,-146.310,19.520
73,1.775,116.416,46.097,197.641,-51.155,39.273
74,0.922,64.715,43.060,138.333,160.602,20.375
75,1.516,116.246,60.557,188.171,-109.312,33.559
