 ,Area,Mean,Min,Max,Angle,Length
1,1.974,113.848,48.108,204.639,15.068,43.731
2,0.889,67.805,48.531,137.868,22.681,19.656
3,2.194,134.030,62.996,177.360,-61.007,48.587
4,1.014,72.830,53.286,130.400,-72.440,22.429
5,1.970,92.234,49.624,180.840,39.715,43.634
6,0.757,77.733,57.989,118.587,-170.690,16.732
7,1.950,114.982,55.648,163.096,-172.073,43.181
8,0.942,71.257,48.003,114.728,-127.614,20.845
9,1.759,142.177,83.540,189.952,-17.805,38.950
10,0.857,81.823,61.413,114.667,-143.130,18.948
11,1.948,147.935,88.201,192.103,-41.693,43.138
12,0.985,58.188,41.576,114.333,114.974,21.798
13,2.080,102.088,46.264,172.435,-92.021,46.045
14,0.883,65.173,46.204,120.667,-68.051,19.553
15,2.186,103.468,46.897,174.559,126.357,48.401
16,1.081,66.249,42.637,147.401,-127.648,23.931
17,1.907,130.466,76.583,212.806,130.840,42.220
18,0.918,50.458,30.130,92.477,-73.740,20.302
19,1.555,93.588,34.486,166.732,150.814,34.416
20,0.796,50.644,34.538,116.667,-87.357,17.613
21,1.956,122.771,57.320,181.333,-137.534,43.300
22,0.981,52.159,30.922,130.771,-86.424,21.697
23,2.194,98.980,32.071,155.085,139.745,48.592
24,0.930,48.276,28.373,121.053,-90.754,20.574
25,1.942,102.540,47.403,179.879,-102.724,43.013
26,0.973,72.669,46.919,167.333,-75.440,21.534
