 ,Area,Mean,Min,Max,Angle,Length
1,1.010,49.062,29.752,151.125,157.166,22.321
2,0.867,40.265,29.769,170.820,161.053,19.175
3,1.227,74.364,45.851,162.959,-60.113,27.162
4,0.971,61.385,46.514,84.141,123.690,21.471
5,1.103,69.741,37.330,212.349,-102.804,24.428
6,0.898,56.534,35.400,135.333,-107.447,19.862
7,1.140,81.101,32.998,217.835,-102.395,25.220
8,0.948,67.584,48.413,135.000,-113.587,20.971
9,1.333,53.212,36.327,105.354,127.921,29.510
10,1.178,49.839,36.514,76.333,126.989,26.094
11,1.079,80.420,39.906,182.984,-92.603,23.845
12,0.896,61.559,35.863,140.000,85.301,19.827
13,1.103,64.113,36.859,145.540,-111.448,24.429
14,0.910,53.385,35.883,111.000,-118.980,20.113
15,1.219,78.968,33.793,211.424,-103.339,26.985
16,1.028,63.959,41.884,140.667,-116.870,22.759
17,1.431,67.915,36.982,188.613,-131.186,31.652
18,1.185,56.063,38.998,135.667,-133.746,26.229
19,1.083,78.522,43.194,214.900,-153.146,23.969
20,0.830,58.128,41.454,131.000,-158.356,18.347
21,1.123,75.915,40.309,208.377,-125.248,24.859
22,0.869,56.715,36.897,148.333,-129.289,19.236
23,1.266,76.172,36.666,195.274,-150.461,28.001
24,1.060,66.669,40.144,188.667,-148.696,23.444
25,1.248,75.593,42.667,201.333,180.000,27.610
26,1.042,62.568,37.144,111.667,-176.634,23.048
27,1.075,74.148,39.394,187.092,168.179,23.783
28,0.887,59.787,38.815,158.000,168.071,19.643
29,1.144,88.859,58.373,205.191,-84.472,25.291
30,0.973,74.104,51.881,127.333,-79.114,21.500
31,1.402,78.201,36.996,196.833,-149.636,31.058
32,1.160,66.370,36.435,187.333,-147.482,25.681
33,0.845,82.286,45.309,206.921,-79.992,18.691
34,0.678,69.055,46.479,127.667,-83.774,14.976
35,0.963,65.572,44.108,146.333,-25.589,21.309
36,0.841,58.922,40.973,131.000,161.301,18.575
37,0.957,80.495,44.546,164.707,161.333,21.143
38,0.790,68.791,46.725,132.886,172.875,17.459
39,1.341,74.124,35.507,175.207,102.642,29.683
40,1.069,59.274,33.574,149.408,105.945,23.648
