 ,Area,Mean,Min,Max,Angle,Length
1,1.343,72.150,47.090,155.747,-97.319,29.747
2,1.166,68.824,50.062,132.691,-102.724,25.808
3,1.390,65.521,30.674,201.045,16.361,30.750
4,1.158,52.225,29.086,149.833,-158.311,25.635
5,1.270,68.158,33.511,208.734,-110.879,28.102
6,1.052,55.545,34.522,139.491,-109.699,23.289
7,1.404,65.673,28.622,195.533,-77.417,31.063
8,1.158,56.963,31.764,166.000,-74.055,25.618
9,1.115,53.484,27.021,165.101,-162.759,24.658
10,0.932,42.958,28.749,131.992,-163.229,20.638
11,1.113,57.486,28.817,185.660,-146.659,24.625
12,0.924,46.150,29.541,129.333,-147.995,20.429
