 ,Area,Mean,Min,Max,Angle,Length
1,1.195,58.939,44.415,150.667,109.733,26.457
2,0.991,54.489,44.895,82.692,115.615,21.914
3,1.185,55.649,30.462,164.881,113.121,26.195
4,0.997,48.011,33.868,169.667,113.106,22.072
5,1.067,72.781,42.052,216.131,21.557,23.575
6,0.967,67.096,39.458,213.894,18.435,21.400
7,0.914,71.679,43.467,201.902,-122.412,20.200
8,0.808,61.643,44.374,120.601,-125.134,17.874
9,1.315,60.791,39.369,155.000,167.645,29.096
10,1.130,53.197,37.922,130.333,170.028,25.010
11,1.309,75.835,41.832,204.000,-168.690,28.985
12,1.042,58.794,45.233,125.323,-170.538,23.051
13,0.887,58.112,31.502,169.234,-78.071,19.643
14,0.808,54.822,34.030,124.333,-88.264,17.874
15,1.119,55.449,34.591,219.928,-95.648,24.753
16,0.991,45.670,34.333,83.333,-90.707,21.927
17,1.358,72.690,40.626,205.311,-133.176,30.066
18,1.150,56.132,41.377,112.333,-135.431,25.458
19,1.231,69.166,32.708,156.269,154.708,27.244
20,1.062,64.104,34.954,134.667,152.549,23.487
21,1.282,68.528,46.304,145.140,-48.094,28.369
22,1.032,58.944,45.845,115.560,-53.673,22.847
23,1.288,70.056,39.198,193.430,170.716,28.525
24,1.142,65.406,42.136,116.307,175.083,25.267
25,1.476,63.210,43.958,190.841,-58.548,32.683
26,1.248,53.032,43.668,69.000,-57.400,27.633
27,1.162,78.688,42.999,216.833,-171.529,25.725
28,0.981,67.569,42.791,123.421,-85.711,21.716
29,1.168,83.557,45.685,234.088,-83.991,25.857
30,1.030,74.596,46.628,128.000,-76.954,22.784
31,0.859,56.969,36.391,186.000,-100.670,19.006
32,0.761,53.129,36.491,107.667,-117.801,16.831
33,1.296,71.273,52.180,120.865,166.357,28.690
34,1.123,67.816,53.632,103.458,156.228,24.846
35,0.973,67.221,42.625,168.139,-75.440,21.534
36,0.930,62.685,43.312,119.667,-69.179,20.562
37,0.985,68.601,43.380,204.296,-151.844,21.798
38,0.908,60.362,43.470,167.000,-158.629,20.056
39,1.030,71.599,48.294,168.395,-76.954,22.784
40,0.898,69.172,51.557,155.333,-78.996,19.854
41,1.162,70.208,34.280,204.800,-66.405,25.698
42,0.926,56.093,34.474,73.397,-64.113,20.460
43,1.016,81.147,61.582,212.739,-68.070,22.469
44,0.887,72.123,59.491,116.515,-63.789,19.611
45,1.164,78.486,56.286,170.767,-86.987,25.751
46,1.016,73.120,57.474,127.309,-92.070,22.482
47,1.001,81.759,41.988,167.191,-118.443,22.165
48,0.891,77.886,40.550,157.333,-110.925,19.706
49,0.851,71.529,53.588,198.380,-71.565,18.832
50,0.771,74.069,57.000,150.000,-88.182,17.062
51,1.028,91.602,50.222,238.476,-88.636,22.744
52,0.847,78.802,50.133,153.448,-86.682,18.709
53,1.132,89.381,63.078,181.894,-169.418,25.059
54,0.975,83.070,62.871,152.667,-168.408,21.553
55,1.237,64.896,45.619,133.076,-65.462,27.376
56,1.146,59.932,45.918,108.667,-71.952,25.338
