"sample_id","tiny_green","green_oval","misc_small_green","green_sphere","orb","ruby","balloon","tangerine","hedgehog","lemon","spiny","oval","zuke","halo","citrine","three_arm","criossant","bubble","flaky","branchy","protist","bacteria","unknown","biofilm","total"
"aas18.01",0,0,0,0,92,0,0,6,0,0,,0,0,,0,2,0,0,0,0,0,0,0,,100
"bre18.01",0,1,0,0,81,5,1,0,1,9,,1,1,,0,0,0,0,0,0,0,0,0,,100
"bre18.02",0,8,3,0,78,7,0,0,0,1,,0,2,,0,0,0,0,0,0,0,0,0,,99
"bre18.02x",0,1,2,0,86,2,0,10,0,1,,1,0,,0,40,0,0,0,0,0,0,0,,143
"bre18.14",0,0,20,0,85,70,0,2,0,0,,10,0,,0,1,0,0,0,0,0,0,0,,188
"bre18.15",0,1,2,0,83,1,0,0,0,0,,11,2,,0,0,0,0,0,0,0,0,0,,100
"bre18.16",4,4,12,0,29,6,0,0,0,0,,43,1,,0,0,0,0,0,0,0,0,0,,99
"bre18.19",0,5,6,0,45,3,1,2,2,18,,17,1,,0,0,0,0,0,0,0,0,0,,100
"gar18.01",0,0,0,0,0,0,98,1,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,99
"gar18.02",0,0,0,0,97,0,0,0,0,0,,0,0,,0,1,0,0,0,0,0,0,0,,98
"gar18.03",0,9,5,0,48,0,0,21,0,0,,2,22,,0,0,0,0,0,1,0,0,0,,108
"gar18.04",0,80,0,0,0,1,0,2,0,7,,10,0,,0,0,0,0,0,0,0,0,0,,100
"hol18.20",0,0,32,66,0,0,0,0,0,0,,,1,,0,0,0,,0,0,0,1,0,0,100
"hol18.21",0,0,19,71,6,0,0,4,0,0,,,0,,0,0,0,,0,0,0,0,0,0,100
"hol18.22a",0,0,32,54,12,0,0,2,0,0,,,0,,0,0,0,,0,0,1,0,0,0,101
"hol18.22b",0,0,51,36,8,0,0,3,0,0,,,0,,0,0,0,,0,0,0,0,0,0,98
"hol18.22c",0,0,31,68,0,0,0,0,0,0,,,0,,0,0,0,,0,0,1,0,0,1,101
"hol18.24",0,0,37,22,0,0,0,1,0,0,,,0,,0,4,0,,0,0,0,0,30,6,100
"hol18.25a",0,0,45,24,15,0,0,0,0,0,,,2,,0,0,0,,0,0,0,2,0,6,94
"hol18.25b",0,0,68,27,0,0,0,0,0,0,,,2,,0,0,0,,0,0,0,0,0,3,100
"hol18.40",0,2,0,2,0,1,7,0,13,55,,,0,,0,0,0,,6,1,0,5,1,7,100
"hol18.41",0,0,0,2,90,1,1,0,1,4,,,0,,0,0,0,,0,0,0,1,0,0,100
"hol18.42",0,38,2,5,8,0,0,0,18,6,,0,16,,0,0,0,,0,0,0,4,0,3,100
"hol18.42b",0,12,1,12,8,0,3,0,15,0,,,7,,0,0,0,,0,0,1,0,1,3,63
"hol18.43",0,20,0,0,7,0,0,1,71,0,,,1,,0,0,0,,0,0,0,0,0,0,100
"hol18.46",2,7,0,0,0,0,0,0,40,42,,0,4,,0,0,0,1,0,0,0,1,1,2,100
"hol18.47",5,0,1,0,0,0,11,0,62,6,,0,2,,0,1,1,0,1,0,0,1,0,9,100
"hol18.48",7,7,1,2,0,0,4,0,48,1,,1,23,,0,0,0,5,0,0,0,0,0,1,100
"hol18.49",18,0,1,1,1,0,0,1,3,0,56,0,6,,0,0,4,1,0,0,0,0,1,7,100
"hol18.50",1,1,3,0,7,0,1,0,8,1,,22,29,,0,0,0,11,0,1,0,10,0,5,100
