"sample_id","date","lat","lon","elevation","color_snow","habitat","dom_morph","have_seq","mountain"
"aas1801","2018-06-30",47.483711,-120.82392,2158.1,"pink","alpine","orb","FALSE","aas"
"bre1804","2018-07-21",50.039529,-123.191486,1685.7,"pink","alpine","orb","FALSE","bre"
"bre1805","2018-07-21",50.039543,-123.191406,1685.1,"pink","alpine","orb","FALSE","bre"
"bre1806","2018-07-21",50.039637,-123.191318,1683.8,"pink","alpine","orb","FALSE","bre"
"bre1807","2018-07-21",50.039672,-123.191035,1681.7,"pink","alpine","orb","FALSE","bre"
"bre1815","2018-07-21",50.039402,-123.190939,1681.5,"orange","alpine","orb","FALSE","bre"
"bre1808","2018-07-21",50.039647,-123.19092,1680.7,"pink","alpine","orb","FALSE","bre"
"bre1809","2018-07-21",50.039792,-123.19078,1679.3,"pink","alpine","orb","FALSE","bre"
"bre1802","2018-07-21",50.039336,-123.190677,1678.5,"other","alpine","orb","FALSE","bre"
"bre1802x","2018-07-21",50.039336,-123.190677,1678.5,"pink","alpine","orb","TRUE","bre"
"bre1803","2018-07-21",50.039295,-123.190679,1678.5,"pink","alpine","orb","FALSE","bre"
"bre1810","2018-07-21",50.039766,-123.190661,1678.3,"pink","alpine","orb","TRUE","bre"
"bre1811","2018-07-21",50.039791,-123.190549,1677.7,"pink","alpine","orb","FALSE","bre"
"bre1812","2018-07-21",50.039886,-123.190177,1675.6,"pink","alpine","orb","FALSE","bre"
"bre1813","2018-07-21",50.03996,-123.190124,1675.4,"pink","alpine","orb","FALSE","bre"
"bre1801","2018-07-21",50.039471,-123.18987,1673.3,"pink","alpine","orb","TRUE","bre"
"bre1814","2018-07-21",50.037303,-123.194147,1600.2,"pink","alpine","orb","FALSE","bre"
"bre1816","2018-07-22",50.039402,-123.190939,1681.5,"green","alpine","oval","FALSE","bre"
"bre1817","2018-07-22",50.039402,-123.190939,1681.5,"other","alpine","NA","FALSE","bre"
"bre1818","2018-07-22",50.039402,-123.190939,1681.5,"other","alpine","NA","FALSE","bre"
"bre1819","2018-07-22",50.039402,-123.190939,1681.5,"orange","alpine","lemon","TRUE","bre"
"bre18rd","2018-07-22",50.039402,-123.190939,1680.9,"other","other","orb","TRUE","bre"
"bre18st","2018-07-22",50.03675,-123.19368,1587.7,"other","other","NA","FALSE","bre"
"bre1820","2018-07-22",50.032139,-123.187198,1455,"pink","alpine","orb","FALSE","bre"
"bre1821","2018-07-22",50.032139,-123.187198,1455,"pink","alpine","orb","FALSE","bre"
"bre1822","2018-07-22",50.032139,-123.187198,1455,"other","alpine","orb","FALSE","bre"
"fro1812","2018-05-16",49.38145,-123.05727,1173,"green","clearing","NA","FALSE","fro"
"fro1810","2018-05-16",49.38142,-123.05714,1172.9,"pink","clearing","balloon","FALSE","fro"
"fro1811","2018-05-16",49.38142,-123.05714,1172.9,"green","clearing","balloon","FALSE","fro"
"fro1809","2018-05-16",49.38137,-123.05699,1171,"pink","clearing","balloon","FALSE","fro"
"fro1808","2018-05-16",49.38109,-123.05665,1158.4,"green","forest","NA","FALSE","fro"
"fro1807","2018-05-16",49.3795,-123.05773,1092.9,"other","forest","NA","FALSE","fro"
"fro1806","2018-05-16",49.37801,-123.05735,1038.3,"rusty","forest","NA","FALSE","fro"
"fro1813","2018-05-16",49.37867,-123.05922,1037.4,"pink","forest","hedgehog","FALSE","fro"
"fro1813a","2018-05-16",49.37867,-123.05922,1037.4,"pink","forest","NA","FALSE","fro"
"fro1813b","2018-05-16",49.37867,-123.05922,1037.4,"other","forest","NA","FALSE","fro"
"fro1813c","2018-05-16",49.37867,-123.05922,1037.4,"green","forest","hedgehog","FALSE","fro"
"fro1805a","2018-05-16",49.37507,-123.05727,1003.8,"green","forest","NA","FALSE","fro"
"fro1805b","2018-05-16",49.37507,-123.05727,1003.8,"green","forest","NA","FALSE","fro"
"fro1804","2018-05-16",49.37452,-123.0579,999,"green","forest","NA","FALSE","fro"
"fro1803","2018-05-16",49.37289,-123.05743,965.1,"pink","forest","balloon","FALSE","fro"
"fro1802a","2018-05-16",49.37123,-123.05825,942,"green","forest","NA","FALSE","fro"
"fro1802b","2018-05-16",49.37123,-123.05825,942,"other","forest","balloon","FALSE","fro"
"fro1802c","2018-05-16",49.37123,-123.05825,942,"pink","forest","NA","FALSE","fro"
"fro1801a","2018-05-16",49.37033,-123.0575,916.7,"green","forest","hedgehog","FALSE","fro"
"fro1801b","2018-05-16",49.37033,-123.0575,916.7,"pink","forest","balloon","FALSE","fro"
"fro1801c","2018-05-16",49.37033,-123.0575,916.7,"pink","forest","NA","FALSE","fro"
"gar1803","2018-07-27",49.82775,-122.966608,1609.8,"orange","alpine","orb","FALSE","gar"
"gar1801","2018-07-27",49.827525,-122.965959,1600,"pink","alpine","balloon","TRUE","gar"
"gar1802","2018-07-27",49.826167,-122.963731,1553.6,"pink","alpine","orb","TRUE","gar"
"gar1804","2018-07-27",49.82775,-122.966608,1550,"green","alpine","lemon","TRUE","gar"
"hol1810","2018-05-14",49.3977,-123.18967,1083,"other","forest","balloon","FALSE","hol"
"hol1808","2018-05-14",49.39748,-123.19027,1062,"other","forest","NA","FALSE","hol"
"hol1801","2018-05-14","NA","NA",900,"other","forest","balloon","FALSE","hol"
"hol1802","2018-05-14","NA","NA",900,"other","forest","lemon","FALSE","hol"
"hol1803","2018-05-14","NA","NA",900,"other","forest","orb","FALSE","hol"
"hol1804","2018-05-14","NA","NA",900,"other","forest","zuke","FALSE","hol"
"hol1805","2018-05-14","NA","NA",900,"other","forest","NA","FALSE","hol"
"hol1806","2018-05-14","NA","NA",900,"other","forest","NA","FALSE","hol"
"hol1807","2018-05-14","NA","NA",900,"other","forest","NA","FALSE","hol"
"hol1809","2018-05-14","NA","NA",900,"other","forest","NA","FALSE","hol"
"hol1811","2018-05-14",49.394549,-123.194102,900,"pink","forest","NA","FALSE","hol"
"hol1812","2018-05-14","NA","NA",900,"other","forest","balloon","FALSE","hol"
"hol1813","2018-05-14","NA","NA",900,"pink","forest","ruby","FALSE","hol"
"hol1814","2018-05-14","NA","NA",900,"green","forest","NA","FALSE","hol"
"hol1815","2018-05-14","NA","NA",900,"green","forest","NA","FALSE","hol"
"hol1816","2018-05-14","NA","NA",900,"rusty","forest","NA","FALSE","hol"
"hol1817","2018-05-14","NA","NA",900,"green","forest","NA","FALSE","hol"
"hol1818","2018-05-14",49.387596,-123.188276,891.5,"pink","clearing","balloon","FALSE","hol"
"hol1819a","2018-05-18",49.400744,-123.183254,1313.7,"other","clearing","NA","FALSE","hol"
"hol1819b","2018-05-18",49.400724,-123.183264,1313.6,"other","clearing","NA","FALSE","hol"
"hol1820","2018-05-18",49.398514,-123.182912,1251.8,"green","clearing","green","FALSE","hol"
"hol1824","2018-05-18",49.39853,-123.183939,1248,"pink","clearing","NA","FALSE","hol"
"hol1822b","2018-05-18",49.398491,-123.18403,1246.8,"green","clearing","green","FALSE","hol"
"hol1822a","2018-05-18",49.398461,-123.184075,1246.6,"green","clearing","green","FALSE","hol"
"hol1823","2018-05-18",49.398459,-123.184062,1246.5,"other","clearing","NA","FALSE","hol"
"hol1822c","2018-05-18",49.398476,-123.184018,1246.4,"other","clearing","green","FALSE","hol"
"hol1822d","2018-05-18",49.398473,-123.184018,1246.4,"other","clearing","green","FALSE","hol"
"hol1821","2018-05-18",49.398471,-123.184036,1246.3,"green","clearing","green","TRUE","hol"
"hol1825b","2018-05-18",49.396818,-123.182569,1219.8,"green","clearing","green","FALSE","hol"
"hol1825a","2018-05-18",49.396796,-123.182532,1219.2,"pink","clearing","NA","FALSE","hol"
"hol1826","2018-05-18",49.396781,-123.182136,1217.6,"green","forest","green","FALSE","hol"
"hol1826b","2018-05-18",49.396805,-123.18208,1217.6,"other","forest","green","FALSE","hol"
"hol1826c","2018-05-18",49.396794,-123.182096,1217.6,"other","forest","green","FALSE","hol"
"hol1826d","2018-05-18",49.396773,-123.182119,1217.4,"other","forest","NA","FALSE","hol"
"hol1827","2018-05-18",49.395022,-123.181015,1147.1,"pink","forest","NA","FALSE","hol"
"hol1828","2018-05-18",49.391609,-123.180378,1072.5,"pink","clearing","NA","FALSE","hol"
"hol1828c","2018-05-18",49.391617,-123.180354,1072.4,"green","clearing","NA","FALSE","hol"
"hol1828b","2018-05-18",49.39163,-123.180325,1072.3,"green","clearing","NA","FALSE","hol"
