"sample_id","alias","date","lat","lon","elev_m","color_snow","habitat","substrate","depth_cm","dom_morph","have_seq","mountain"
"aas18.01","A1.1","2018-06-30",47.483711,-120.82392,2158.1,"pink","alpine","NA","NA","orb","FALSE","Enchantments"
"bre18.04","B1.1","2018-07-21",50.039529,-123.191486,1685.7,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.05","B1.2","2018-07-21",50.039543,-123.191406,1685.1,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.06","B1.3","2018-07-21",50.039637,-123.191318,1683.8,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.07","B1.4","2018-07-21",50.039672,-123.191035,1681.7,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.15","B1.5","2018-07-21",50.039402,-123.190939,1681.5,"orange","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.08","B1.6","2018-07-21",50.039647,-123.19092,1680.7,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.09","B1.7","2018-07-21",50.039792,-123.19078,1679.3,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.02","B1.8","2018-07-21",50.039336,-123.190677,1678.5,"other","alpine","rock","NA","orb","FALSE","Mt. Brew"
"bre18.02x","B1.9","2018-07-21",50.039336,-123.190677,1678.5,"pink","alpine","NA","NA","orb","TRUE","Mt. Brew"
"bre18.03","B1.10","2018-07-21",50.039295,-123.190679,1678.5,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.10","B1.11","2018-07-21",50.039766,-123.190661,1678.3,"pink","alpine","NA","NA","orb","TRUE","Mt. Brew"
"bre18.11","B1.12","2018-07-21",50.039791,-123.190549,1677.7,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.12","B1.13","2018-07-21",50.039886,-123.190177,1675.6,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.13","B1.14","2018-07-21",50.03996,-123.190124,1675.4,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.01","B1.15","2018-07-21",50.039471,-123.18987,1673.3,"pink","alpine","NA","NA","orb","TRUE","Mt. Brew"
"bre18.14","B1.16","2018-07-21",50.037303,-123.194147,1600.2,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.16","B2.1","2018-07-22",50.039402,-123.190939,1681.5,"green","alpine","NA","NA","oval","FALSE","Mt. Brew"
"bre18.17","B2.2","2018-07-22",50.039402,-123.190939,1681.5,"other","alpine","NA","NA","NA","FALSE","Mt. Brew"
"bre18.18","B2.3","2018-07-22",50.039402,-123.190939,1681.5,"other","alpine","NA","NA","NA","FALSE","Mt. Brew"
"bre18.19","B2.4","2018-07-22",50.039402,-123.190939,1681.5,"orange","alpine","NA","NA","lemon","TRUE","Mt. Brew"
"bre18.rd","B2.5","2018-07-22",50.039402,-123.190939,1680.9,"other","other","rock","NA","orb","TRUE","Mt. Brew"
"bre18.st","B2.6","2018-07-22",50.03675,-123.19368,1587.7,"other","other","stream","NA","NA","FALSE","Mt. Brew"
"bre18.20","B2.7","2018-07-22",50.032139,-123.187198,1455,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.21","B2.8","2018-07-22",50.032139,-123.187198,1455,"pink","alpine","NA","NA","orb","FALSE","Mt. Brew"
"bre18.22","B2.9","2018-07-22",50.032139,-123.187198,1455,"other","alpine","NA","NA","orb","FALSE","Mt. Brew"
"fro18.12","F1.1","2018-05-16",49.38145,-123.05727,1173,"green","clearing","NA","NA","NA","FALSE","Mt. Fromme"
"fro18.10","F1.2","2018-05-16",49.38142,-123.05714,1172.9,"pink","clearing","NA","NA","balloon","FALSE","Mt. Fromme"
"fro18.11","F1.3","2018-05-16",49.38142,-123.05714,1172.9,"green","clearing","NA","NA","balloon","FALSE","Mt. Fromme"
"fro18.09","F1.4","2018-05-16",49.38137,-123.05699,1171,"pink","clearing","NA","NA","balloon","FALSE","Mt. Fromme"
"fro18.08","F1.5","2018-05-16",49.38109,-123.05665,1158.4,"green","forest","NA","NA","NA","FALSE","Mt. Fromme"
"fro18.07","F1.6","2018-05-16",49.3795,-123.05773,1092.9,"other","forest","NA","NA","NA","FALSE","Mt. Fromme"
"fro18.06","F1.7","2018-05-16",49.37801,-123.05735,1038.3,"rusty","forest","NA","NA","NA","FALSE","Mt. Fromme"
"fro18.13","F1.8","2018-05-16",49.37867,-123.05922,1037.4,"pink","forest","NA","NA","hedgehog","FALSE","Mt. Fromme"
"fro18.13a","F1.9","2018-05-16",49.37867,-123.05922,1037.4,"pink","forest","NA","NA","NA","FALSE","Mt. Fromme"
"fro18.13b","F1.10","2018-05-16",49.37867,-123.05922,1037.4,"other","forest","NA",10,"NA","FALSE","Mt. Fromme"
"fro18.13c","F1.11","2018-05-16",49.37867,-123.05922,1037.4,"green","forest","NA","NA","hedgehog","FALSE","Mt. Fromme"
