"latitude","longitude","date"
50.141766,-122.773848,"Jul24"
50.141658,-122.77368,"Jul24"
50.141544,-122.774455,"Jul24"
50.141264,-122.775109,"Jul24"
50.140422,-122.782111,"Jul24"
50.140131,-122.784916,"Jul24"
50.142606,-122.769597,"Aug"
50.144132,-122.764528,"Aug"
50.142263,-122.770803,"Aug"
50.144485,-122.763241,"Aug"
50.141419,-122.773268,"Aug"
50.143033,-122.768292,"Aug"
50.145017,-122.760599,"Aug"
50.14055,-122.775763,"Aug"
50.143423,-122.767121,"Aug"
50.14182,-122.771961,"Aug"
50.1438,-122.765794,"Aug"
50.14484,-122.761993,"Aug"
50.140946,-122.774506,"Aug"
